species	HGNC	UniProtKB	gene	ID
HUMAN	11639	P36402	Transcription factor 7	TCF7
HUMAN	28980	Q14691	DNA replication complex GINS protein PSF1	GINS1
HUMAN	17016	O95251	Histone acetyltransferase KAT7	KAT7
HUMAN	5359	Q14197	"Peptidyl-tRNA hydrolase ICT1, mitochondrial"	ICT1
HUMAN	18463	Q8IZA3	Histone H1oo	H1FOO
HUMAN	28434	Q8N1B3	Cyclin-related protein FAM58A	FAM58A
HUMAN	20410	Q8TE96	ATP-dependent RNA helicase DQX1	DQX1
HUMAN	4023	P51114	Fragile X mental retardation syndrome-related protein 1	FXR1
HUMAN	26600	Q562E7	WD repeat-containing protein 81	WDR81
HUMAN	29189	Q9UPR6	Zinc finger RNA-binding protein 2	ZFR2
HUMAN	5114	P14651	Homeobox protein Hox-B3	HOXB3
HUMAN	2742	Q9UMR2	ATP-dependent RNA helicase DDX19B	DDX19B
HUMAN	9831	P15918	V(D)J recombination-activating protein 1	RAG1
HUMAN	3213	P26641	Elongation factor 1-gamma	EEF1G
HUMAN	18641	Q8IX01	SURP and G-patch domain-containing protein 2	SUGP2
HUMAN	21484	Q9NXL9	DNA helicase MCM9	MCM9
HUMAN	6950	P33993	DNA replication licensing factor MCM7	MCM7
HUMAN	33852	P0CL83	Putative STAG3-like protein 1	STAG3L1
HUMAN	29158	Q9Y2G9	Protein strawberry notch homolog 2	SBNO2
HUMAN	10790	Q12872	"Splicing factor, suppressor of white-apricot homolog"	SFSWAP
HUMAN	26715	Q3B8N5	Prospero homeobox protein 2	PROX2
HUMAN	34343	Q6ZV65	Protein FAM47E	FAM47E
HUMAN	35406	P0CB48	Putative upstream-binding factor 1-like protein 6	UBTFL6
HUMAN	6129	P78413	Iroquois-class homeodomain protein IRX-4	IRX4
HUMAN	28052	Q9NQH7	Probable Xaa-Pro aminopeptidase 3	XPNPEP3
HUMAN	33887	Q8TBR4	Putative STAG3-like protein 4	STAG3L4
HUMAN	4613	O15499	Homeobox protein goosecoid-2	GSC2
HUMAN	1494	Q15699	ALX homeobox protein 1	ALX1
HUMAN	2769	O43583	Density-regulated protein	DENR
HUMAN	25752	Q96QE3	ATPase family AAA domain-containing protein 5	ATAD5
HUMAN	10883	Q14190	Single-minded homolog 2	SIM2
HUMAN	24249	Q9Y2Z4	"Tyrosine--tRNA ligase, mitochondrial"	YARS2
HUMAN	ENSG00000229729	C9JYP6	Uncharacterized protein	unassigned
HUMAN	24511	Q9Y3Y2	Chromatin target of PRMT1 protein	CHTOP
HUMAN	10424	P62701	"40S ribosomal protein S4, X isoform"	RPS4X
HUMAN	4010	P35637	RNA-binding protein FUS	FUS
HUMAN	1493	P49589	"Cysteine--tRNA ligase, cytoplasmic"	CARS
HUMAN	18730	Q96A08	Histone H2B type 1-A	HIST1H2BA
HUMAN	13761	Q9UBG7	Recombining binding protein suppressor of hairless-like protein	RBPJL
HUMAN	15774	Q8WWY6	Methyl-CpG-binding domain protein 3-like 1	MBD3L1
HUMAN	3823	Q9H334	Forkhead box protein P1	FOXP1
HUMAN	5119	P17481	Homeobox protein Hox-B8	HOXB8
HUMAN	1739	O75419	Cell division control protein 45 homolog	CDC45
HUMAN	9968	O60673	DNA polymerase zeta catalytic subunit	REV3L
HUMAN	10567	Q9GZW5	Putative SCAN domain-containing protein SCAND2P	SCAND2P
HUMAN	958	Q16520	Basic leucine zipper transcriptional factor ATF-like	BATF
HUMAN	33855	Q6RFH8	Double homeobox protein 4C	DUX4L9
HUMAN	1833	P49715	CCAAT/enhancer-binding protein alpha	CEBPA
HUMAN	24035	Q9UKG1	DCC-interacting protein 13-alpha	APPL1
HUMAN	18683	P38919	Eukaryotic initiation factor 4A-III	EIF4A3
HUMAN	23847	Q9P1Z0	Zinc finger and BTB domain-containing protein 4	ZBTB4
HUMAN	13906	Q14582	Max dimerization protein 4	MXD4
HUMAN	26999	Q6ZMY6	WD repeat-containing protein 88	WDR88
HUMAN	16617	Q9C0J9	Class E basic helix-loop-helix protein 41	BHLHE41
HUMAN	24912	Q4G0J3	La-related protein 7	LARP7
HUMAN	13909	Q9NQL9	Doublesex- and mab-3-related transcription factor 3	DMRT3
HUMAN	22198	O75127	"Pentatricopeptide repeat-containing protein 1, mitochondrial"	PTCD1
HUMAN	ENSG00000260836	H3BNC9	Uncharacterized protein (Fragment)	unassigned
HUMAN	25777	Q2KHR2	DNA-binding protein RFX7	RFX7
HUMAN	7441	P46199	"Translation initiation factor IF-2, mitochondrial"	MTIF2
HUMAN	3214	P13639	Elongation factor 2	EEF2
HUMAN	11313	P10155	60 kDa SS-A/Ro ribonucleoprotein	TROVE2
HUMAN	28739	Q8IXQ9	Methyltransferase-like protein 20	METTL20
HUMAN	4739	P16104	Histone H2AX	H2AFX
HUMAN	28046	Q9UDW3	Zinc finger matrin-type protein 5	ZMAT5
HUMAN	17582	Q8WYB5	Histone acetyltransferase KAT6B	KAT6B
HUMAN	2384	Q16526	Cryptochrome-1	CRY1
HUMAN	14278	Q9BYD1	"39S ribosomal protein L13, mitochondrial"	MRPL13
HUMAN	20210	Q9NWQ4	G patch domain-containing protein 2-like	GPATCH2L
HUMAN	23190	Q9BT49	THAP domain-containing protein 7	THAP7
HUMAN	26748	Q8N9E0	Protein FAM133A	FAM133A
HUMAN	6120	Q13568	Interferon regulatory factor 5	IRF5
HUMAN	8620	P26367	Paired box protein Pax-6	PAX6
HUMAN	3274	O75821	Eukaryotic translation initiation factor 3 subunit G	EIF3G
HUMAN	18988	O94900	Thymocyte selection-associated high mobility group box protein TOX	TOX
HUMAN	30076	Q9BUI4	DNA-directed RNA polymerase III subunit RPC3	POLR3C
HUMAN	3434	P18074	TFIIH basal transcription factor complex helicase XPD subunit	ERCC2
HUMAN	9369	P49642	DNA primase small subunit	PRIM1
HUMAN	7133	O14686	Histone-lysine N-methyltransferase 2D	KMT2D
HUMAN	17930	Q9UJV8	Purine-rich element-binding protein gamma	PURG
HUMAN	17407	Q5HYM0	Probable ribonuclease ZC3H12B	ZC3H12B
HUMAN	11751	Q14188	Transcription factor Dp-2	TFDP2
HUMAN	29122	Q8N3P4	Vacuolar protein sorting-associated protein 8 homolog	VPS8
HUMAN	29210	Q8N344	Mesoderm induction early response protein 2	MIER2
HUMAN	8622	Q06710	Paired box protein Pax-8	PAX8
HUMAN	24118	Q8IXQ6	Poly [ADP-ribose] polymerase 9	PARP9
HUMAN	16661	Q8IZU2	WD repeat-containing protein 17	WDR17
HUMAN	6159	P56537	Eukaryotic translation initiation factor 6	EIF6
HUMAN	30545	Q96HQ2	CDKN2AIP N-terminal-like protein	CDKN2AIPNL
HUMAN	7001	O14770	Homeobox protein Meis2	MEIS2
HUMAN	1808	O14627	Homeobox protein CDX-4	CDX4
HUMAN	16878	P42694	Probable helicase with zinc finger domain	HELZ
HUMAN	20855	Q8WTV1	THAP domain-containing protein 3	THAP3
HUMAN	3507	Q03828	Homeobox even-skipped homolog protein 2	EVX2
HUMAN	4174	Q92908	Transcription factor GATA-6	GATA6
HUMAN	29562	Q9Y4F3	Meiosis arrest female protein 1	KIAA0430
HUMAN	24303	Q8NDT2	Putative RNA-binding protein 15B	RBM15B
HUMAN	8829	Q9BRX2	Protein pelota homolog	PELO
HUMAN	5140	P28356	Homeobox protein Hox-D9	HOXD9
HUMAN	22788	A0PJY2	Fez family zinc finger protein 1	FEZF1
HUMAN	20229	Q8WV16	DDB1- and CUL4-associated factor 4	DCAF4
HUMAN	25799	Q8N442	"Translation factor GUF1, mitochondrial"	GUF1
HUMAN	4201	Q92830	Histone acetyltransferase KAT2A	KAT2A
HUMAN	33267	Q5HYN5	Cancer/testis antigen family 45 member A1	CT45A1
HUMAN	2934	Q9Y5R6	Doublesex- and mab-3-related transcription factor 1	DMRT1
HUMAN	10364	P62424	60S ribosomal protein L7a	RPL7A
HUMAN	3277	P60228	Eukaryotic translation initiation factor 3 subunit E	EIF3E
HUMAN	11198	O15370	Transcription factor SOX-12	SOX12
HUMAN	23459	Q96P64	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4"	AGAP4
HUMAN	21057	Q9H1X1	Radial spoke head protein 9 homolog	RSPH9
HUMAN	5124	P31275	Homeobox protein Hox-C12	HOXC12
HUMAN	17751	Q6Q6R5	Cysteine-rich protein 3	CRIP3
HUMAN	5009	P52926	High mobility group protein HMGI-C	HMGA2
HUMAN	30266	Q96NA2	Rab-interacting lysosomal protein	RILP
HUMAN	21463	Q99551	"Transcription termination factor, mitochondrial"	MTERF
HUMAN	21091	Q9Y4E5	Zinc finger protein 451	ZNF451
HUMAN	25966	Q6NXG1	Epithelial splicing regulatory protein 1	ESRP1
HUMAN	21065	O95847	Mitochondrial uncoupling protein 4	SLC25A27
HUMAN	10304	P40429	60S ribosomal protein L13a	RPL13A
HUMAN	25695	Q9HA77	"Probable cysteine--tRNA ligase, mitochondrial"	CARS2
HUMAN	16486	O75689	Arf-GAP with dual PH domain-containing protein 1	ADAP1
HUMAN	2983	P04053	DNA nucleotidylexotransferase	DNTT
HUMAN	28988	Q93075	Putative deoxyribonuclease TATDN2	TATDN2
HUMAN	3815	Q12951	Forkhead box protein I1	FOXI1
HUMAN	3817	Q12952	Forkhead box protein L1	FOXL1
HUMAN	9817	Q06609	DNA repair protein RAD51 homolog 1	RAD51
HUMAN	14011	O95347	Structural maintenance of chromosomes protein 2	SMC2
HUMAN	3799	Q99853	Forkhead box protein B1	FOXB1
HUMAN	18569	Q8IUE0	Homeobox protein TGIF2LY	TGIF2LY
HUMAN	10080	Q15287	RNA-binding protein with serine-rich domain 1	RNPS1
HUMAN	14129	Q96KQ7	Histone-lysine N-methyltransferase EHMT2	EHMT2
HUMAN	10306	P61313	60S ribosomal protein L15	RPL15
HUMAN	28748	Q9BQ83	Structure-specific endonuclease subunit SLX1	SLX1A
HUMAN	15977	Q9BYE0	Transcription factor HES-7	HES7
HUMAN	EIF2S3L	Q2VIR3	Putative eukaryotic translation initiation factor 2 subunit 3-like protein	EIF2S3L
HUMAN	12765	O15353	Forkhead box protein N1	FOXN1
HUMAN	26368	Q4G0Z9	MCM domain-containing protein 2	MCMDC2
HUMAN	20165	Q9P2P1	Protein NYNRIN	NYNRIN
HUMAN	26721	Q86TB9	Protein PAT1 homolog 1	PATL1
HUMAN	11368	P42226	Signal transducer and activator of transcription 6	STAT6
HUMAN	18027	Q3B726	DNA-directed RNA polymerase I subunit RPA43	TWISTNB
HUMAN	12983	Q15776	Zinc finger protein with KRAB and SCAN domains 8	ZKSCAN8
HUMAN	23315	Q5VYV0	Forkhead box protein B2	FOXB2
HUMAN	10295	Q92834	X-linked retinitis pigmentosa GTPase regulator	RPGR
HUMAN	10372	P05386	60S acidic ribosomal protein P1	RPLP1
HUMAN	7836	Q8TAU0	Homeobox protein Nkx-2.3	NKX2-3
HUMAN	4657	Q13889	General transcription factor IIH subunit 3	GTF2H3
HUMAN	10397	P08708	40S ribosomal protein S17	RPS17
HUMAN	34004	A6NF01	Putative nuclear envelope pore membrane protein POM 121B	POM121B
HUMAN	11302	Q9UHB9	Signal recognition particle subunit SRP68	SRP68
HUMAN	ENSG00000204775	Q96Q25	Ribosome biogenesis protein BOP1	KM-PA-2
HUMAN	13363	Q9H2W2	Homeobox protein MIXL1	MIXL1
HUMAN	12347	Q9Y4A5	Transformation/transcription domain-associated protein	TRRAP
HUMAN	11614	Q15560	Transcription elongation factor A protein 2	TCEA2
HUMAN	16921	Q99490	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2"	AGAP2
HUMAN	18521	Q9NU39	Forkhead box protein D4-like 1	FOXD4L1
HUMAN	11592	O43435	T-box transcription factor TBX1	TBX1
HUMAN	5192	Q14469	Transcription factor HES-1	HES1
HUMAN	605	Q9Y235	Probable C-U-editing enzyme APOBEC-2	APOBEC2
HUMAN	10417	P62979	Ubiquitin-40S ribosomal protein S27a	RPS27A
HUMAN	2485	Q12996	Cleavage stimulation factor subunit 3	CSTF3
HUMAN	4993	B2RPK0	Putative high mobility group protein B1-like 1	HMGB1P1
HUMAN	10347	P61927	60S ribosomal protein L37	RPL37
HUMAN	9955	Q04206	Transcription factor p65	RELA
HUMAN	31326	Q8WWM7	Ataxin-2-like protein	ATXN2L
HUMAN	6834	P27338	Amine oxidase [flavin-containing] B	MAOB
HUMAN	7566	P23409	Myogenic factor 6	MYF6
HUMAN	1743	Q99459	Cell division cycle 5-like protein	CDC5L
HUMAN	4610	Q12849	G-rich sequence factor 1	GRSF1
HUMAN	11338	O60224	Protein SSX4	SSX4
HUMAN	2483	Q05048	Cleavage stimulation factor subunit 1	CSTF1
HUMAN	13164	P62633	Cellular nucleic acid-binding protein	CNBP
HUMAN	30075	O15318	DNA-directed RNA polymerase III subunit RPC7	POLR3G
HUMAN	7211	P29372	DNA-3-methyladenine glycosylase	MPG
HUMAN	20842	Q8IVH2	Forkhead box protein P4	FOXP4
HUMAN	9893	P28749	Retinoblastoma-like protein 1	RBL1
HUMAN	28440	Q68CQ4	Digestive organ expansion factor homolog	DIEXF
HUMAN	13954	O60814	Histone H2B type 1-K	HIST1H2BK
HUMAN	17638	A8K0S8	Putative homeobox protein Meis3-like 2	MEIS3P2
HUMAN	11317	Q04837	"Single-stranded DNA-binding protein, mitochondrial"	SSBP1
HUMAN	16021	Q9Y5N5	HemK methyltransferase family member 2	N6AMT1
HUMAN	10346	Q969Q0	60S ribosomal protein L36a-like	RPL36AL
HUMAN	16650	Q9H9J2	"39S ribosomal protein L44, mitochondrial"	MRPL44
HUMAN	2734	Q92499	ATP-dependent RNA helicase DDX1	DDX1
HUMAN	2747	P26196	Probable ATP-dependent RNA helicase DDX6	DDX6
HUMAN	12998	O43670	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207
HUMAN	4834	Q9Y450	HBS1-like protein	HBS1L
HUMAN	13652	A6H8Y1	Transcription factor TFIIIB component B'' homolog	BDP1
HUMAN	7962	P20393	Nuclear receptor subfamily 1 group D member 1	NR1D1
HUMAN	1805	P47902	Homeobox protein CDX-1	CDX1
HUMAN	23464	Q5SRD3	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 8"	AGAP8
HUMAN	18435	Q8WVB6	Chromosome transmission fidelity protein 18 homolog	CHTF18
HUMAN	29682	Q969S9	"Ribosome-releasing factor 2, mitochondrial"	GFM2
HUMAN	4717	P16402	Histone H1.3	HIST1H1D
HUMAN	18336	Q53EQ6	Tigger transposable element-derived protein 5	TIGD5
HUMAN	22516	P0C5Y9	Histone H2A-Bbd type 1	H2AFB1
HUMAN	4004	Q96AE4	Far upstream element-binding protein 1	FUBP1
HUMAN	8652	P57723	Poly(rC)-binding protein 4	PCBP4
HUMAN	8491	O43913	Origin recognition complex subunit 5	ORC5
HUMAN	661	Q9NP61	ADP-ribosylation factor GTPase-activating protein 3	ARFGAP3
HUMAN	27610	Q6P5R6	60S ribosomal protein L22-like 1	RPL22L1
HUMAN	ENSG00000267281	K7ELQ4	Uncharacterized protein	unassigned
HUMAN	4852	Q13547	Histone deacetylase 1	HDAC1
HUMAN	7837	Q9H2Z4	Homeobox protein Nkx-2.4	NKX2-4
HUMAN	3526	Q92800	Histone-lysine N-methyltransferase EZH1	EZH1
HUMAN	7971	P13056	Nuclear receptor subfamily 2 group C member 1	NR2C1
HUMAN	15525	Q6XYB7	Transcription factor LBX2	LBX2
HUMAN	17070	Q9UH65	Switch-associated protein 70	SWAP70
HUMAN	19421	Q8WYH8	Inhibitor of growth protein 5	ING5
HUMAN	6036	Q01167	Forkhead box protein K2	FOXK2
HUMAN	29993	Q8NHV9	Rhox homeobox family member 1	RHOXF1
HUMAN	14002	O14519	Cyclin-dependent kinase 2-associated protein 1	CDK2AP1
HUMAN	26383	Q8N136	Dynein assembly factor with WDR repeat domains 1	DAW1
HUMAN	11469	O00267	Transcription elongation factor SPT5	SUPT5H
HUMAN	4715	Q02539	Histone H1.1	HIST1H1A
HUMAN	29814	Q96NY9	Crossover junction endonuclease MUS81	MUS81
HUMAN	16068	O95613	Pericentrin	PCNT
HUMAN	17348	O43395	U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3
HUMAN	956	Q9UMQ3	Homeobox protein BarH-like 2	BARX2
HUMAN	9188	P30876	DNA-directed RNA polymerase II subunit RPB2	POLR2B
HUMAN	20607	Q8N6R1	Stress-associated endoplasmic reticulum protein 2	SERP2
HUMAN	18643	Q8IWZ8	SURP and G-patch domain-containing protein 1	SUGP1
HUMAN	19277	Q8TDE3	Ribonuclease 8	RNASE8
HUMAN	20662	Q6NUK1	Calcium-binding mitochondrial carrier protein SCaMC-1	SLC25A24
HUMAN	20450	Q3C1V8	Brain-specific homeobox protein homolog	BSX
HUMAN	24662	Q9NQT4	Exosome complex component RRP46	EXOSC5
HUMAN	30646	Q7KZF4	Staphylococcal nuclease domain-containing protein 1	SND1
HUMAN	28698	Q8TF46	DIS3-like exonuclease 1	DIS3L
HUMAN	11250	Q9Y5K1	Meiotic recombination protein SPO11	SPO11
HUMAN	3287	P06730	Eukaryotic translation initiation factor 4E	EIF4E
HUMAN	9904	Q9Y580	RNA-binding protein 7	RBM7
HUMAN	8088	Q9Y6K5	2'-5'-oligoadenylate synthase 3	OAS3
HUMAN	10332	P39023	60S ribosomal protein L3	RPL3
HUMAN	30401	Q8WVC0	RNA polymerase-associated protein LEO1	LEO1
HUMAN	32448	Q6ZQN5	Forkhead box protein I2	FOXI2
HUMAN	5133	P28358	Homeobox protein Hox-D10	HOXD10
HUMAN	272	Q9UGN5	Poly [ADP-ribose] polymerase 2	PARP2
HUMAN	3796	P01100	Proto-oncogene c-Fos	FOS
HUMAN	27010	Q17R31	Putative deoxyribonuclease TATDN3	TATDN3
HUMAN	5100	P31260	Homeobox protein Hox-A10	HOXA10
HUMAN	24534	O76021	Ribosomal L1 domain-containing protein 1	RSL1D1
HUMAN	18576	P22674	Cyclin-O	CCNO
HUMAN	10429	P62753	40S ribosomal protein S6	RPS6
HUMAN	15965	Q9NR90	Deleted in azoospermia protein 3	DAZ3
HUMAN	24573	Q8TAT5	Endonuclease 8-like 3	NEIL3
HUMAN	8125	O15527	N-glycosylase/DNA lyase	OGG1
HUMAN	23994	Q8IV48	3'-5' exoribonuclease 1	ERI1
HUMAN	19354	O75182	Paired amphipathic helix protein Sin3b	SIN3B
HUMAN	14934	Q8N6T7	NAD-dependent protein deacetylase sirtuin-6	SIRT6
HUMAN	26911	Q8N2G6	Zinc finger CCHC domain-containing protein 24	ZCCHC24
HUMAN	19321	Q9C056	Homeobox protein Nkx-6.2	NKX6-2
HUMAN	10537	P49591	"Serine--tRNA ligase, cytoplasmic"	SARS
HUMAN	17851	Q9Y3B8	"Oligoribonuclease, mitochondrial"	REXO2
HUMAN	20856	Q9NVV9	THAP domain-containing protein 1	THAP1
HUMAN	29668	Q6FI13	Histone H2A type 2-A	HIST2H2AA3
HUMAN	4791	P62805	Histone H4	HIST1H4A
HUMAN	29680	Q8TBP6	Solute carrier family 25 member 40	SLC25A40
HUMAN	33722	Q66K41	Zinc finger protein 385C	ZNF385C
HUMAN	6702	Q32MZ4	Leucine-rich repeat flightless-interacting protein 1	LRRFIP1
HUMAN	72	Q9NUQ8	ATP-binding cassette sub-family F member 3	ABCF3
HUMAN	2682	Q9NQZ3	Deleted in azoospermia protein 1	DAZ1
HUMAN	13854	Q969J2	Zinc finger protein with KRAB and SCAN domains 4	ZKSCAN4
HUMAN	29232	Q460N5	Poly [ADP-ribose] polymerase 14	PARP14
HUMAN	19088	Q9NR48	Histone-lysine N-methyltransferase ASH1L	ASH1L
HUMAN	9902	P52756	RNA-binding protein 5	RBM5
HUMAN	28422	Q8NCE0	tRNA-splicing endonuclease subunit Sen2	TSEN2
HUMAN	9813	P54727	UV excision repair protein RAD23 homolog B	RAD23B
HUMAN	20152	Q9C0A1	Zinc finger homeobox protein 2	ZFHX2
HUMAN	3819	Q12778	Forkhead box protein O1	FOXO1
HUMAN	738	P50553	Achaete-scute homolog 1	ASCL1
HUMAN	12679	P11473	Vitamin D3 receptor	VDR
HUMAN	9195	P52434	"DNA-directed RNA polymerases I, II, and III subunit RPABC3"	POLR2H
HUMAN	20115	Q6Q0C1	Solute carrier family 25 member 47	SLC25A47
HUMAN	18854	Q8TEY5	Cyclic AMP-responsive element-binding protein 3-like protein 4	CREB3L4
HUMAN	9824	P43351	DNA repair protein RAD52 homolog	RAD52
HUMAN	10665	Q9BVJ6	U3 small nucleolar RNA-associated protein 14 homolog A	UTP14A
HUMAN	5023	P55318	Hepatocyte nuclear factor 3-gamma	FOXA3
HUMAN	17300	Q7Z7C8	Transcription initiation factor TFIID subunit 8	TAF8
HUMAN	6949	Q14566	DNA replication licensing factor MCM6	MCM6
HUMAN	13008	O76080	AN1-type zinc finger protein 5	ZFAND5
HUMAN	10312	P84098	60S ribosomal protein L19	RPL19
HUMAN	35123	A8MTJ6	Forkhead box protein I3	FOXI3
HUMAN	6206	P17535	Transcription factor jun-D	JUND
HUMAN	14933	Q9NXA8	"NAD-dependent protein deacylase sirtuin-5, mitochondrial"	SIRT5
HUMAN	5035	P07910	Heterogeneous nuclear ribonucleoproteins C1/C2	HNRNPC
HUMAN	19311	Q8IXF0	Neuronal PAS domain-containing protein 3	NPAS3
HUMAN	17150	Q9Y2V2	Calcium-regulated heat stable protein 1	CARHSP1
HUMAN	37206	A6NDZ8	Putative methyl-CpG-binding domain protein 3-like 4	MBD3L4
HUMAN	9398	Q13516	Oligodendrocyte transcription factor 2	OLIG2
HUMAN	24329	Q9Y3A2	Probable U3 small nucleolar RNA-associated protein 11	UTP11L
HUMAN	14374	Q9C000	"NACHT, LRR and PYD domains-containing protein 1"	NLRP1
HUMAN	20086	Q6P158	Putative ATP-dependent RNA helicase DHX57	DHX57
HUMAN	5101	P31270	Homeobox protein Hox-A11	HOXA11
HUMAN	30129	Q99575	Ribonucleases P/MRP protein subunit POP1	POP1
HUMAN	24432	P82979	SAP domain-containing ribonucleoprotein	SARNP
HUMAN	21370	Q6DKI1	60S ribosomal protein L7-like 1	RPL7L1
HUMAN	24305	Q15021	Condensin complex subunit 1	NCAPD2
HUMAN	4747	P58876	Histone H2B type 1-D	HIST1H2BD
HUMAN	19353	Q96ST3	Paired amphipathic helix protein Sin3a	SIN3A
HUMAN	22943	Q96MN2	"NACHT, LRR and PYD domains-containing protein 4"	NLRP4
HUMAN	4751	P33778	Histone H2B type 1-B	HIST1H2BB
HUMAN	22945	P59045	"NACHT, LRR and PYD domains-containing protein 11"	NLRP11
HUMAN	8729	P12004	Proliferating cell nuclear antigen	PCNA
HUMAN	15837	Q96GQ7	Probable ATP-dependent RNA helicase DDX27	DDX27
HUMAN	7967	Q96RI1	Bile acid receptor	NR1H4
HUMAN	25517	Q9H583	HEAT repeat-containing protein 1	HEATR1
HUMAN	19375	Q9BV35	Calcium-binding mitochondrial carrier protein SCaMC-3	SLC25A23
HUMAN	17276	O43414	ERI1 exoribonuclease 3	ERI3
HUMAN	15504	Q9BX70	BTB/POZ domain-containing protein 2	BTBD2
HUMAN	1599	O60563	Cyclin-T1	CCNT1
HUMAN	29523	Q9Y6A4	UPF0468 protein C16orf80	C16orf80
HUMAN	13911	Q8IXT2	Doublesex- and mab-3-related transcription factor C2	DMRTC2
HUMAN	6316	Q92945	Far upstream element-binding protein 2	KHSRP
HUMAN	18755	Q9NR33	DNA polymerase epsilon subunit 4	POLE4
HUMAN	23465	Q5VUJ5	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 7"	AGAP7
HUMAN	32207	Q6ZN17	Protein lin-28 homolog B	LIN28B
HUMAN	795	Q13315	Serine-protein kinase ATM	ATM
HUMAN	4740	O75367	Core histone macro-H2A.1	H2AFY
HUMAN	3808	Q13461	Forkhead box protein E3	FOXE3
HUMAN	16400	Q96P20	"NACHT, LRR and PYD domains-containing protein 3"	NLRP3
HUMAN	20472	O15116	U6 snRNA-associated Sm-like protein LSm1	LSM1
HUMAN	20673	P60153	Inactive ribonuclease-like protein 9	RNASE9
HUMAN	13870	O43809	Cleavage and polyadenylation specificity factor subunit 5	NUDT21
HUMAN	14478	Q9BYC9	"39S ribosomal protein L20, mitochondrial"	MRPL20
HUMAN	16467	Q15027	"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"	ACAP1
HUMAN	16924	Q8WZ64	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2"	ARAP2
HUMAN	26876	Q460N3	Poly [ADP-ribose] polymerase 15	PARP15
HUMAN	25554	Q96CQ1	Solute carrier family 25 member 36	SLC25A36
HUMAN	3261	Q13144	Translation initiation factor eIF-2B subunit epsilon	EIF2B5
HUMAN	3266	P20042	Eukaryotic translation initiation factor 2 subunit 2	EIF2S2
HUMAN	4881	Q9UBP5	Hairy/enhancer-of-split related with YRPW motif protein 2	HEY2
HUMAN	11595	O95935	T-box transcription factor TBX18	TBX18
HUMAN	20967	Q96RE7	Nucleus accumbens-associated protein 1	NACC1
HUMAN	19026	Q8NFW5	Diencephalon/mesencephalon homeobox protein 1	DMBX1
HUMAN	7723	Q8NHV4	Protein NEDD1	NEDD1
HUMAN	12519	P55916	Mitochondrial uncoupling protein 3	UCP3
HUMAN	10886	Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2	SIRT2
HUMAN	26955	Q9UFB7	Zinc finger and BTB domain-containing protein 47	ZBTB47
HUMAN	29153	Q8TBE0	Bromo adjacent homology domain-containing 1 protein	BAHD1
HUMAN	20857	Q9H9S0	Homeobox protein NANOG	NANOG
HUMAN	5136	P35453	Homeobox protein Hox-D13	HOXD13
HUMAN	4729	P20671	Histone H2A type 1-D	HIST1H2AD
HUMAN	6643	Q8TAP4	LIM domain only protein 3	LMO3
HUMAN	1160	Q96RR1	"Twinkle protein, mitochondrial"	PEO1
HUMAN	19654	Q7RTT4	Protein SSX8	SSX8
HUMAN	15446	Q8WWY3	U4/U6 small nuclear ribonucleoprotein Prp31	PRPF31
HUMAN	8043	Q02818	Nucleobindin-1	NUCB1
HUMAN	21581	Q5VZK9	Leucine-rich repeat-containing protein 16A	LRRC16A
HUMAN	26665	Q8NA57	Uncharacterized protein C12orf50	C12orf50
HUMAN	16093	Q8NDY6	Class E basic helix-loop-helix protein 23	BHLHE23
HUMAN	4172	P23771	Trans-acting T-cell-specific transcription factor GATA-3	GATA3
HUMAN	10328	P61353	60S ribosomal protein L27	RPL27
HUMAN	11992	Q13472	DNA topoisomerase 3-alpha	TOP3A
HUMAN	18801	Q7Z3K3	Pogo transposable element with ZNF domain	POGZ
HUMAN	14310	Q9NPI1	Bromodomain-containing protein 7	BRD7
HUMAN	29925	Q13823	Nucleolar GTP-binding protein 2	GNL2
HUMAN	21209	A6NKF2	AT-rich interactive domain-containing protein 3C	ARID3C
HUMAN	1975	P58304	Visual system homeobox 2	VSX2
HUMAN	2062	O00299	Chloride intracellular channel protein 1	CLIC1
HUMAN	20148	A6NEE1	Pleckstrin homology domain-containing family D member 1	PLEKHD1
HUMAN	5044	P61978	Heterogeneous nuclear ribonucleoprotein K	HNRNPK
HUMAN	7781	Q14494	Nuclear factor erythroid 2-related factor 1	NFE2L1
HUMAN	28533	Q8N5S1	Solute carrier family 25 member 41	SLC25A41
HUMAN	17055	Q9HAP2	MLX-interacting protein	MLXIP
HUMAN	11337	Q99909	Protein SSX3	SSX3
HUMAN	11106	Q96GM5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	SMARCD1
HUMAN	9459	Q92786	Prospero homeobox protein 1	PROX1
HUMAN	11301	P61011	Signal recognition particle 54 kDa protein	SRP54
HUMAN	445	Q7Z333	Probable helicase senataxin	SETX
HUMAN	4653	P13984	General transcription factor IIF subunit 2	GTF2F2
